usage_count,destination_ip,hostname,timestamp,hop,hop_ip,rtt_ms,bandwidth_mbps
1,142.250.183.206,google.com,2025-04-15 10:42:43,1,172.29.144.1,0.266333,4977.777778
1,142.250.183.206,google.com,2025-04-15 10:42:43,2,10.7.0.2,10.194667,4355.555556
1,142.250.183.206,google.com,2025-04-15 10:42:43,3,10.1.0.3,2.961000,4044.444444
1,142.250.183.206,google.com,2025-04-15 10:42:43,4,172.16.4.4,3.398000,2803.497814
1,142.250.183.206,google.com,2025-04-15 10:42:43,5,14.139.98.1,6.434333,3577.777778
1,142.250.183.206,google.com,2025-04-15 10:42:43,6,10.117.81.253,3.051000,4977.777778
1,142.250.183.206,google.com,2025-04-15 10:42:43,7,10.154.8.137,14.321667,3733.333333
1,142.250.183.206,google.com,2025-04-15 10:42:43,8,10.255.239.170,20.918333,3422.222222
1,142.250.183.206,google.com,2025-04-15 10:42:43,9,10.152.7.214,17.157333,3328.888889
1,142.250.183.206,google.com,2025-04-15 10:42:43,11,142.251.76.31,15.777667,3422.222222
1,142.250.183.206,google.com,2025-04-15 10:42:43,12,142.251.64.9,14.726333,3422.222222
1,142.250.183.206,google.com,2025-04-15 10:42:43,13,142.250.183.206,17.107000,N/A
2,142.250.206.110,google.com,2025-04-15 10:49:05,1,172.29.144.1,0.204667,7466.666667
2,142.250.206.110,google.com,2025-04-15 10:49:05,2,10.7.0.2,5.866000,3733.333333
2,142.250.206.110,google.com,2025-04-15 10:49:05,3,10.1.0.3,3.106000,3733.333333
2,142.250.206.110,google.com,2025-04-15 10:49:05,4,172.16.4.4,3.397000,3266.666667
2,142.250.206.110,google.com,2025-04-15 10:49:05,5,14.139.98.1,4.895000,4355.555556
2,142.250.206.110,google.com,2025-04-15 10:49:05,6,10.117.81.253,3.591667,3733.333333
2,142.250.206.110,google.com,2025-04-15 10:49:05,7,10.154.8.137,20.527333,3733.333333
2,142.250.206.110,google.com,2025-04-15 10:49:05,8,10.255.239.170,18.615333,3733.333333
2,142.250.206.110,google.com,2025-04-15 10:49:05,9,10.152.7.214,15.012667,3733.333333
2,142.250.206.110,google.com,2025-04-15 10:49:05,10,142.250.172.80,56.838333,3888.888889
2,142.250.206.110,google.com,2025-04-15 10:49:05,11,72.14.238.215,15.947333,3173.333333
2,142.250.206.110,google.com,2025-04-15 10:49:05,12,192.178.110.104,15.522500,3266.666667
2,142.250.206.110,google.com,2025-04-15 10:49:05,13,172.253.68.121,15.149333,3017.777778
2,142.250.206.110,google.com,2025-04-15 10:49:05,14,108.170.232.203,37.825333,2462.222222
2,142.250.206.110,google.com,2025-04-15 10:49:05,15,72.14.233.106,47.605333,2488.888889
2,142.250.206.110,google.com,2025-04-15 10:49:05,16,192.178.83.207,38.811333,2955.555556
2,142.250.206.110,google.com,2025-04-15 10:49:05,17,142.251.76.193,38.366667,2542.690058
2,142.250.206.110,google.com,2025-04-15 10:49:05,18,142.250.206.110,37.844000,N/A
3,142.250.206.110,google.com,2025-04-15 10:50:44,1,172.29.144.1,0.168333,8400.000000
3,142.250.206.110,google.com,2025-04-15 10:50:44,2,10.7.0.2,11.180000,3733.333333
3,142.250.206.110,google.com,2025-04-15 10:50:44,3,10.1.0.3,3.092333,3736.074400
3,142.250.206.110,google.com,2025-04-15 10:50:44,4,172.16.4.4,3.448333,4666.666667
